symbol,index,fno,chg,close,prev_close,volume,avg20v,ratio_pct,n_days_v
RISHABH,Outside Nifty500,No,-6.04,779.5,829.6,224609.0,402291.0,55.8,20
RAMBHAJO,Outside Nifty500,No,-5.96,253.22,269.28,537792.0,2944018.0,18.3,20
AGL,Outside Nifty500,No,-5.95,14.23,15.13,2608653.0,6329323.0,41.2,20
PCJEWELLER,Outside Nifty500,No,-5.91,12.89,13.7,356317461.0,600382082.0,59.3,20
KARMAENG,Outside Nifty500,No,-5.9,37.29,39.63,4644.0,7174.0,64.7,20
PRIMO,Outside Nifty500,No,-5.9,22.31,23.71,179451.0,296767.0,60.5,20
INDNIPPON,Outside Nifty500,No,-5.88,1279.0,1358.9,96043.0,267817.0,35.9,20
BAJAJHIND,Outside Nifty500,No,-5.87,19.71,20.94,19892199.0,75412006.0,26.4,20
MOL,Outside Nifty500,No,-5.85,58.86,62.52,828296.0,1790675.0,46.3,20
NITCO,Outside Nifty500,No,-5.84,88.24,93.71,464560.0,1611472.0,28.8,20
IKIO,Outside Nifty500,No,-5.72,211.06,223.87,350513.0,968975.0,36.2,20
GIPCL,Outside Nifty500,No,-5.71,188.31,199.72,638722.0,1007289.0,63.4,20
POKARNA,Outside Nifty500,No,-5.71,758.25,804.15,102781.0,148797.0,69.1,20
TEJASNET,Smallcap250,No,-5.68,521.25,552.65,2713607.0,6851229.0,39.6,20
HIKAL,Outside Nifty500,No,-5.66,212.22,224.95,851825.0,3719257.0,22.9,20
HERITGFOOD,Outside Nifty500,No,-5.64,393.85,417.4,572936.0,1084704.0,52.8,20
SBICARD,Midcap150,Yes,-5.59,618.6,655.2,1751822.0,3469841.0,50.5,20
MANALIPETC,Outside Nifty500,No,-5.58,80.19,84.93,1729990.0,11503041.0,15.0,20
RENUKA,Outside Nifty500,No,-5.55,23.49,24.87,11649203.0,35161800.0,33.1,20
VOLTAMP,Outside Nifty500,No,-5.54,10596.0,11217.0,26149.0,42330.0,61.8,20
IRISDOREME,Outside Nifty500,No,-5.5,58.09,61.47,514737.0,1218400.0,42.2,20
AEPL,Outside Nifty500,No,-5.46,16.27,17.21,53631.0,130679.0,41.0,20
JINDRILL,Outside Nifty500,No,-5.46,598.65,633.25,319605.0,770098.0,41.5,20
JSFB,Outside Nifty500,No,-5.46,488.65,516.85,344324.0,1028719.0,33.5,20
