symbol,index,fno,chg,close,prev_close,deliv,avg20d,ratio_pct,n_days_d
SKMEGGPROD,Outside Nifty500,No,-3.9,231.9,241.3,72011.0,113779.0,63.3,20
SOTL,Outside Nifty500,No,-3.9,688.3,716.25,102302.0,167585.0,61.0,20
LTFOODS,Smallcap250,No,-3.89,421.05,438.1,183741.0,374592.0,49.1,20
CUMMINSIND,NiftyNext50,Yes,-3.87,4874.0,5070.0,180206.0,284882.0,63.3,20
DOLLAR,Outside Nifty500,No,-3.87,262.95,273.55,26725.0,42340.0,63.1,20
MARALOVER,Outside Nifty500,No,-3.86,60.0,62.41,12724.0,32516.0,39.1,20
ARIS,Outside Nifty500,No,-3.85,120.63,125.46,543604.0,822700.0,66.1,20
NDL,Outside Nifty500,No,-3.85,2.75,2.86,671876.0,1651695.0,40.7,20
BONLON,Outside Nifty500,No,-3.84,38.56,40.1,4744.0,10175.0,46.6,20
SGMART,Outside Nifty500,No,-3.84,722.1,750.95,105357.0,158619.0,66.4,20
STEELCAS,Outside Nifty500,No,-3.84,312.75,325.25,28332.0,44491.0,63.7,20
SBFC,Smallcap250,No,-3.83,94.43,98.19,316713.0,1233720.0,25.7,20
UNICHEMLAB,Outside Nifty500,No,-3.83,519.05,539.7,30945.0,46879.0,66.0,20
DBEIL,Outside Nifty500,No,-3.82,6.79,7.06,131053.0,432085.0,30.3,6
BSHSL,Outside Nifty500,No,-3.81,85.42,88.8,2709.0,6438.0,42.1,20
OSWALAGRO,Outside Nifty500,No,-3.79,34.25,35.6,10799.0,27478.0,39.3,20
BFUTILITIE,Outside Nifty500,No,-3.77,528.2,548.9,19517.0,44428.0,43.9,20
COHANCE,Smallcap250,No,-3.77,423.6,440.2,206023.0,446300.0,46.2,20
MANGLMCEM,Outside Nifty500,No,-3.75,989.4,1028.0,27847.0,88837.0,31.3,20
HORIZONIND,Outside Nifty500,No,-3.74,53.59,55.67,2434143.0,5596963.0,43.5,17
TIIL,Outside Nifty500,No,-3.74,3128.6,3250.2,13418.0,19973.0,67.2,20
ASTEC,Outside Nifty500,No,-3.73,673.7,699.8,16177.0,43298.0,37.4,20
STYRENIX,Outside Nifty500,No,-3.73,2034.2,2113.1,13808.0,23532.0,58.7,20
TURTLEMINT,Outside Nifty500,No,-3.73,131.04,136.12,161371.0,424886.0,38.0,20
TOKYOPLAST,Outside Nifty500,No,-3.71,76.01,78.94,786.0,1150.0,68.3,20
MEDICO,Outside Nifty500,No,-3.7,35.68,37.05,110166.0,197562.0,55.8,20
NEAGI,Outside Nifty500,No,-3.7,3308.0,3435.0,9.0,34.0,26.5,18
NARMADA,Outside Nifty500,No,-3.69,13.85,14.38,105360.0,216744.0,48.6,20
KOLTEPATIL,Outside Nifty500,No,-3.67,420.8,436.85,29319.0,48744.0,60.1,20
CHALET,Smallcap250,No,-3.66,845.15,877.25,27003.0,90428.0,29.9,20
THELEELA,Smallcap250,No,-3.66,522.45,542.3,88100.0,353312.0,24.9,20
TTKHLTCARE,Outside Nifty500,No,-3.66,1074.6,1115.4,17365.0,27696.0,62.7,20
BRAHMINFRA,Outside Nifty500,No,-3.65,151.6,157.35,6778.0,11296.0,60.0,20
HITECH,Outside Nifty500,No,-3.64,73.61,76.39,335487.0,488366.0,68.7,20
ICIL,Outside Nifty500,No,-3.64,427.1,443.25,123218.0,269879.0,45.7,20
ISFT,Outside Nifty500,No,-3.64,76.59,79.48,8295.0,17404.0,47.7,20
IMAGICAA,Outside Nifty500,No,-3.63,50.43,52.33,359924.0,1020685.0,35.3,20
RELIGARE,Outside Nifty500,No,-3.61,247.55,256.81,287807.0,803133.0,35.8,20
TVSSRICHAK,Outside Nifty500,No,-3.6,4960.5,5146.0,2558.0,8635.0,29.6,20
NORTHARC,Outside Nifty500,No,-3.57,294.2,305.1,581214.0,1018218.0,57.1,20
GOKULAGRO,Outside Nifty500,No,-3.56,218.69,226.76,143640.0,277501.0,51.8,20
BOROLTD,Outside Nifty500,No,-3.55,248.33,257.48,74625.0,206619.0,36.1,20
