symbol,index,fno,chg,close,prev_close,deliv,avg20d,ratio_pct,n_days_d
INDOTHAI,Outside Nifty500,No,-4.98,39.12,41.17,440253.0,2299019.0,19.1,20
VISL,Outside Nifty500,No,-4.98,31.68,33.34,12169018.0,12682531.0,96.0,20
NUVOCO,Smallcap250,No,-4.97,313.75,330.15,190419.0,208282.0,91.4,20
DIFFNKG,Outside Nifty500,No,-4.95,427.25,449.5,80581.0,150092.0,53.7,20
PGEL,Smallcap250,Yes,-4.95,518.0,545.0,273222.0,390371.0,70.0,20
63MOONS,Outside Nifty500,No,-4.94,864.0,908.9,143919.0,186027.0,77.4,20
ALICON,Outside Nifty500,No,-4.94,697.2,733.4,6414.0,15597.0,41.1,20
DCMSRIND,Outside Nifty500,No,-4.93,38.56,40.56,165765.0,186355.0,89.0,20
MARATHON,Outside Nifty500,No,-4.93,414.0,435.45,34122.0,126339.0,27.0,20
ALKALI,Outside Nifty500,No,-4.92,73.45,77.25,6190.0,38678.0,16.0,6
SUMEETINDS,Outside Nifty500,No,-4.92,10.24,10.77,1035087.0,1581565.0,65.4,20
ATLASCYCLE,Outside Nifty500,No,-4.9,91.02,95.71,19272.0,22188.0,86.9,20
INDOBORAX,Outside Nifty500,No,-4.9,460.8,484.55,45264.0,114030.0,39.7,20
PERNIASPOP,Outside Nifty500,No,-4.9,542.0,569.9,121132.0,397254.0,30.5,6
SAMBHAAV,Outside Nifty500,No,-4.87,5.67,5.96,15405.0,24140.0,63.8,20
PRECWIRE,Outside Nifty500,No,-4.86,440.05,462.55,187547.0,279543.0,67.1,20
STARPAPER,Outside Nifty500,No,-4.85,160.27,168.44,10675.0,18681.0,57.1,20
THOMASCOOK,Outside Nifty500,No,-4.84,103.37,108.63,484739.0,610211.0,79.4,20
KMEW,Outside Nifty500,No,-4.83,2730.5,2869.2,33881.0,35908.0,94.4,20
AIAENG,Midcap150,No,-4.82,3899.3,4096.6,23861.0,26695.0,89.4,20
BLUESTARCO,Midcap150,Yes,-4.81,1483.0,1558.0,207030.0,245906.0,84.2,20
SPAL,Outside Nifty500,No,-4.81,973.8,1023.0,26947.0,39111.0,68.9,20
ENRIN,NiftyNext50,No,-4.8,3028.7,3181.3,167523.0,203673.0,82.3,20
SIMPLEXINF,Outside Nifty500,No,-4.8,242.85,255.1,70626.0,88419.0,79.9,20
AVADHSUGAR,Outside Nifty500,No,-4.79,732.7,769.6,89446.0,97761.0,91.5,20
BANKA,Outside Nifty500,No,-4.79,77.86,81.78,1874.0,3534.0,53.0,20
OMAXE,Outside Nifty500,No,-4.79,118.04,123.98,262722.0,795611.0,33.0,20
ANUHPHR,Outside Nifty500,No,-4.78,90.33,94.86,98349.0,125389.0,78.4,20
SYNCOMF,Outside Nifty500,No,-4.78,18.53,19.46,2482808.0,4618148.0,53.8,20
LORDSCHLO,Outside Nifty500,No,-4.77,131.1,137.67,7386.0,10372.0,71.2,20
REGAAL,Outside Nifty500,No,-4.77,79.72,83.71,179751.0,185097.0,97.1,20
SAKHTISUG,Outside Nifty500,No,-4.77,18.95,19.9,87947.0,246841.0,35.6,20
BLUSPRING,Outside Nifty500,No,-4.72,125.27,131.48,91741.0,314792.0,29.1,20
SYMBIOTEC,Outside Nifty500,No,-4.71,1080.1,1133.45,314470.0,1371333.0,22.9,11
PENIND,Outside Nifty500,No,-4.69,167.3,175.54,193259.0,264026.0,73.2,20
TPLPLASTEH,Outside Nifty500,No,-4.69,65.27,68.48,43977.0,55320.0,79.5,20
CINELINE,Outside Nifty500,No,-4.67,91.81,96.31,7977.0,35168.0,22.7,20
MARSONS,Outside Nifty500,No,-4.67,121.3,127.24,1038078.0,1060066.0,97.9,20
PREMIERPOL,Outside Nifty500,No,-4.67,81.9,85.91,173315.0,175726.0,98.6,20
TREL,Outside Nifty500,No,-4.67,25.71,26.97,55034.0,85574.0,64.3,20
INDOSTAR,Outside Nifty500,No,-4.63,233.07,244.38,49563.0,93667.0,52.9,20
JGCHEM,Outside Nifty500,No,-4.63,564.65,592.05,123259.0,144864.0,85.1,20
STEELCITY,Outside Nifty500,No,-4.63,86.12,90.3,11251.0,14497.0,77.6,20
TCPLPACK,Outside Nifty500,No,-4.62,3692.1,3871.0,2885.0,3799.0,75.9,20
ALLCARGO,Outside Nifty500,No,-4.61,11.6,12.16,3986212.0,7598715.0,52.5,20
ARKADE,Outside Nifty500,No,-4.6,116.42,122.03,78703.0,102164.0,77.0,20
SAHLIBHFI,Outside Nifty500,No,-4.6,77.91,81.67,28572.0,99331.0,28.8,20
SHIPROCKET,Outside Nifty500,No,-4.6,127.82,133.99,788635.0,7084801.0,11.1,20
DALMIASUG,Outside Nifty500,No,-4.59,398.2,417.35,96715.0,152347.0,63.5,20
GRWRHITECH,Outside Nifty500,No,-4.59,6603.5,6921.5,13501.0,32671.0,41.3,20
SKYGOLD,Outside Nifty500,No,-4.59,789.4,827.4,352975.0,412685.0,85.5,20
JMA,Outside Nifty500,No,-4.57,88.96,93.22,9404.0,18230.0,51.6,20
HARSHA,Outside Nifty500,No,-4.56,424.7,445.0,59233.0,83205.0,71.2,20
SHAH,Outside Nifty500,No,-4.56,3.35,3.51,902437.0,4042505.0,22.3,20
MALUPAPER,Outside Nifty500,No,-4.55,32.96,34.53,8843.0,16593.0,53.3,20
DJML,Outside Nifty500,No,-4.53,78.66,82.39,25518.0,117350.0,21.7,20
PTCIL,Smallcap250,No,-4.53,22560.0,23630.0,12036.0,14700.0,81.9,20
SAYAJIIND,Outside Nifty500,No,-4.53,113.51,118.9,311.0,1285.0,24.2,20
WHEELS,Outside Nifty500,No,-4.53,2129.1,2230.1,126121.0,140605.0,89.7,20
GODREJAGRO,Outside Nifty500,No,-4.52,645.3,675.85,98871.0,216877.0,45.6,20
NIBE,Outside Nifty500,No,-4.52,1224.4,1282.4,22656.0,26674.0,84.9,20
3BBLACKBIO,Outside Nifty500,No,-4.51,1355.8,1419.9,5062.0,12562.0,40.3,20
ASHAPURMIN,Outside Nifty500,No,-4.51,518.4,542.9,146956.0,162251.0,90.6,20
SHIVAAGRO,Outside Nifty500,No,-4.51,37.9,39.69,1543.0,4591.0,33.6,20
RAMCOSYS,Outside Nifty500,No,-4.5,567.8,594.55,26403.0,63595.0,41.5,20
AUTOIND,Outside Nifty500,No,-4.49,79.11,82.83,80453.0,127109.0,63.3,17
OPTIFIN,Outside Nifty500,No,-4.48,13.85,14.5,20283.0,66598.0,30.5,20
VINCOFE,Outside Nifty500,No,-4.48,166.54,174.35,826966.0,1318383.0,62.7,20
