symbol,index,fno,chg,close,prev_close,deliv,avg20d,ratio_pct,n_days_d
VIRINCHI,Outside Nifty500,No,-3.44,13.76,14.25,62047.0,56801.0,109.2,20
SMALLGROWW,Outside Nifty500,No,-3.43,47.85,49.55,11431.0,9185.0,124.5,20
3MINDIA,Midcap150,No,-3.42,31590.0,32710.0,1260.0,1088.0,115.8,20
MOHITE,Outside Nifty500,No,-3.42,2.54,2.63,141764.0,91467.0,155.0,20
MSUMI,Smallcap250,No,-3.42,35.06,36.3,6036652.0,5171186.0,116.7,20
IRCON,Smallcap250,No,-3.39,109.42,113.26,900767.0,476334.0,189.1,20
AWHCL,Outside Nifty500,No,-3.38,354.1,366.5,43840.0,33642.0,130.3,20
GRASIM,Nifty50,Yes,-3.38,3171.0,3281.9,834939.0,647472.0,129.0,20
MASTERTR,Outside Nifty500,No,-3.38,87.55,90.61,374289.0,211276.0,177.2,20
TASTYBITE,Outside Nifty500,No,-3.37,9927.0,10273.0,2365.0,1756.0,134.7,20
GROWWMOM50,Outside Nifty500,No,-3.36,10.65,11.02,265471.0,198790.0,133.5,20
LINCOLN,Outside Nifty500,No,-3.35,602.6,623.5,21986.0,17664.0,124.5,20
AVANTIFEED,Outside Nifty500,No,-3.34,771.95,798.6,126331.0,116432.0,108.5,20
BASF,Outside Nifty500,No,-3.33,3539.4,3661.5,9987.0,9671.0,103.3,20
THERMAX,Midcap150,No,-3.33,3559.4,3682.0,106041.0,60409.0,175.5,20
BOMDYEING,Outside Nifty500,No,-3.32,107.58,111.27,304617.0,244671.0,124.5,20
TVTODAY,Outside Nifty500,No,-3.31,105.68,109.3,63871.0,20486.0,311.8,20
AONETMMQ50,Outside Nifty500,No,-3.29,10.0,10.34,163001.0,38131.0,427.5,20
MPSLTD,Outside Nifty500,No,-3.29,2522.6,2608.5,12420.0,11656.0,106.6,20
SWSOLAR,Outside Nifty500,No,-3.28,174.3,180.22,608515.0,336406.0,180.9,20
VASCONEQ,Outside Nifty500,No,-3.26,29.1,30.08,243351.0,144320.0,168.6,20
GROWWRLTY,Outside Nifty500,No,-3.25,9.22,9.53,1215942.0,311722.0,390.1,20
HIRECT,Outside Nifty500,No,-3.25,1204.9,1245.4,30119.0,24849.0,121.2,20
YUKEN,Outside Nifty500,No,-3.25,1077.6,1113.75,24109.0,16126.0,149.5,20
JAICORPLTD,Outside Nifty500,No,-3.23,92.64,95.73,163795.0,127352.0,128.6,20
RKFORGE,Smallcap250,No,-3.23,688.2,711.2,391857.0,374239.0,104.7,20
VEEDOL,Outside Nifty500,No,-3.22,1382.5,1428.5,9112.0,4759.0,191.5,20
DIGISPICE,Outside Nifty500,No,-3.2,16.33,16.87,113606.0,49467.0,229.7,20
DRAGARWQ,Outside Nifty500,No,-3.19,5137.0,5306.5,1257.0,779.0,161.4,20
ADSL,Outside Nifty500,No,-3.18,97.02,100.21,55112.0,41854.0,131.7,20
DBCORP,Outside Nifty500,No,-3.18,184.73,190.79,79409.0,39779.0,199.6,20
GRINDWELL,Outside Nifty500,No,-3.18,1825.9,1885.8,14969.0,12602.0,118.8,20
BORANA,Outside Nifty500,No,-3.16,303.5,313.4,30381.0,12468.0,243.7,20
MOMMIDCAP,Outside Nifty500,No,-3.16,12.58,12.99,1517541.0,1322853.0,114.7,20
SAURASHCEM,Outside Nifty500,No,-3.16,53.03,54.76,84941.0,47921.0,177.3,20
ASAL,Outside Nifty500,No,-3.15,447.85,462.4,11547.0,8650.0,133.5,20
BLUEJET,Smallcap250,No,-3.15,550.65,568.55,202837.0,197201.0,102.9,20
SEKURITIND,Outside Nifty500,No,-3.15,106.86,110.34,33248.0,18329.0,181.4,20
UFO,Outside Nifty500,No,-3.15,60.66,62.63,28146.0,23392.0,120.3,20
KIRLOSBROS,Outside Nifty500,No,-3.14,1728.0,1784.0,46334.0,16979.0,272.9,20
MBAPL,Outside Nifty500,No,-3.14,155.82,160.87,657719.0,476393.0,138.1,20
GOPAL,Outside Nifty500,No,-3.13,249.3,257.35,67083.0,62235.0,107.8,20
LAHOTIOV,Outside Nifty500,No,-3.13,39.28,40.55,13179.0,8485.0,155.3,20
LICI,Midcap150,Yes,-3.12,391.5,404.1,7832073.0,4862667.0,161.1,20
RAMAPHO,Outside Nifty500,No,-3.11,118.86,122.67,19830.0,16294.0,121.7,20
MOM30IETF,Outside Nifty500,No,-3.1,30.33,31.3,739591.0,396026.0,186.8,20
TITAN,Nifty50,Yes,-3.06,4856.0,5009.5,277236.0,269599.0,102.8,20
WAAREERTL,Outside Nifty500,No,-3.05,806.55,831.95,87196.0,43941.0,198.4,20
EMULTIMQ,Outside Nifty500,No,-3.03,40.58,41.85,35019.0,17455.0,200.6,20
INFRA,Outside Nifty500,No,-3.02,11.55,11.91,113585.0,31218.0,363.8,20
KIRLPNU,Outside Nifty500,No,-3.02,698.15,719.9,108168.0,79041.0,136.9,20
REPCOHOME,Outside Nifty500,No,-3.02,348.75,359.6,93703.0,59028.0,158.7,20
DCXINDIA,Outside Nifty500,No,-3.01,161.62,166.63,203429.0,164490.0,123.7,20
DECNGOLD,Outside Nifty500,No,-3.01,222.82,229.73,1056766.0,691510.0,152.8,20
HPL,Outside Nifty500,No,-3.01,283.2,292.0,45728.0,40761.0,112.2,20
LAKSHMIMIL,Outside Nifty500,No,-3.01,7565.0,7800.0,83.0,31.0,267.7,19
ACGL,Outside Nifty500,No,-3.0,1732.1,1785.7,743.0,553.0,134.4,20
CEWATER,Outside Nifty500,No,-3.0,276.15,284.7,76868.0,74386.0,103.3,20
