sym,entry,exit,qty,entry_px,exit_px,pnl,ret_pct,R,rate,mfe_pct,mae_pct,mfe_R,mae_R,hold
GLAPH,2026-06-29,2026-07-17,4.0,2366.054866666667,2478.2737875000003,448.87568333333365,4.742870607706107,0.6775529439580161,0.07,7.774339298922417,0.2935322181736977,1.1106198998460595,0.04193317402481395,18
RAIIND,2026-07-06,2026-07-17,50.0,194.69665833333332,208.980162,714.1751833333344,7.336285989157765,1.0480408555939658,0.07,9.729669645502813,1.1265430467283677,1.3899528065004016,0.16093472096119538,11
RAIIND,2026-07-06,2026-07-17,70.0,194.69665833333332,208.93654636363635,996.7921621212124,7.313884147884764,1.0448405925549669,0.07,9.729669645502813,1.1265430467283677,1.3899528065004016,0.16093472096119538,11
RAIIND,2026-07-06,2026-07-17,40.0,195.159375,208.93654636363635,551.0868545454537,7.059446344115594,1.008492334873656,0.07,9.469504091207504,0.8867752317817112,1.3527862987439292,0.1266821759688159,11
SYRTEC,2026-06-24,2026-07-17,5.0,1396.8068533333333,1374.9323333333334,-109.37259999999924,-1.566037562587741,-0.22371965179824863,0.07,3.9442208158696257,-2.921438510696883,0.5634601165528036,-0.4173483586709833,23
SYRTEC,2026-07-06,2026-07-17,10.0,1411.8373399999998,1374.9323333333334,-369.05006666666395,-2.613970152302847,-0.3734243074718346,0.07,2.837625756519535,-3.9549414382254455,0.4053751080742193,-0.5649916340322064,11
SYRTEC,2026-07-06,2026-07-17,5.0,1411.8373399999998,1375.4323266666665,-182.02506666666636,-2.5785557798983616,-0.36836511141405154,0.07,2.837625756519535,-3.9549414382254455,0.4053751080742193,-0.5649916340322064,11
SYRTEC,2026-07-08,2026-07-17,10.0,1394.8021199999998,1375.4323266666665,-193.6979333333329,-1.3887126392762683,-0.19838751989660924,0.07,4.093618670439092,-2.559654841935566,0.5848026672055845,-0.3656649774193665,9
SYRTEC,2026-07-15,2026-07-17,10.0,1438.8165999999999,1375.2323199999998,-635.8428000000004,-4.419206728640745,-0.6313152469486782,0.07,-1.0367269879983154,-5.540428154637633,-0.14810385542833074,-0.7914897363768045,2
SYRTEC,2026-07-16,2026-07-17,5.0,1429.3725533333334,1375.2323199999998,-270.70116666666763,-3.787692243500629,-0.5410988919286609,0.07,-0.38286402803602293,-4.916321722384842,-0.054694861148003274,-0.7023316746264058,1
SYRTEC,2026-07-16,2026-07-17,10.0,1429.3725533333334,1375.13132,-542.4123333333341,-3.794758280956312,-0.5421083258509023,0.07,-0.38286402803602293,-4.916321722384842,-0.054694861148003274,-0.7023316746264058,1
CADHEA,2026-06-10,2026-07-17,20.0,1118.677955,1139.8718000000001,423.8769000000002,1.894543903835122,0.2706491291193044,0.07,3.6044372573695638,-5.120146932724712,0.514919608195652,-0.731449561817816,37
AEQLIM,2026-06-29,2026-07-17,15.0,234.4044166666667,230.86866799999999,-53.036230000000586,-1.5083967772222873,-0.2154852538888984,0.07,10.096048389304357,-2.5700952022732926,1.4422926270434795,-0.3671564574676132,18
AEQLIM,2026-07-06,2026-07-17,35.0,243.03630399999997,230.86866799999999,-425.86725999999953,-5.00650964474838,-0.7152156635354825,0.07,6.1857820220965865,-6.030499871327855,0.8836831460137979,-0.8614999816182649,11
AEQLIM,2026-07-06,2026-07-17,15.0,243.03630399999997,231.1287171428571,-178.6138028571429,-4.8995095223069445,-0.6999299317581353,0.07,6.1857820220965865,-6.030499871327855,0.8836831460137979,-0.8614999816182649,11
AEQLIM,2026-07-07,2026-07-17,60.0,239.825935,231.1287171428571,-521.8330714285725,-3.6264709474156276,-0.5180672782022318,0.07,7.6072110382890745,-4.772601011646216,1.0867444340412964,-0.681800144520888,10
AEQLIM,2026-07-07,2026-07-17,50.0,245.429764,231.1287171428571,-715.0523428571446,-5.826940719848017,-0.8324201028354312,0.07,5.150245754219118,-6.946901517617077,0.735749393459874,-0.9924145025167252,10
AEQLIM,2026-07-14,2026-07-17,50.0,243.66930799999997,231.1287171428571,-627.029542857143,-5.146561526387583,-0.7352230751982262,0.07,-0.4470435808846096,-6.274613789275419,-0.06386336869780138,-0.8963733984679169,3
BHEL,2026-07-10,2026-07-17,50.0,396.296538,440.976996,2234.0228999999995,11.274501217065879,1.6106430310094126,0.07,9.867222710888267,-0.26407952117916134,1.4096032444126094,-0.03772564588273733,7
ZYDWEL,2026-06-22,2026-07-17,30.0,530.119535,591.0962266666667,1829.3007499999987,11.502441928812646,1.6432059898303777,0.07,13.540430084320487,-2.267325425010047,1.9343471549029267,-0.32390363214429246,25
VARTEX,2026-06-04,2026-07-17,5.0,635.086095,631.0149633333333,-20.35565833333351,-0.6410361837109191,-0.09157659767298842,0.07,4.907036265689291,-3.4067971524396112,0.7010051808127558,-0.48668530749137295,43
VARTEX,2026-06-18,2026-07-17,25.0,657.1207919999999,631.0149633333333,-652.645716666666,-3.972759496349443,-0.5675370709070626,0.07,1.3892739525429798,-5.047898712661625,0.19846770750613993,-0.7211283875230892,29
CUMIND,2026-07-10,2026-07-17,5.0,5659.87304,5431.5595,-1141.5677000000005,-4.0338986119731075,-0.5762712302818724,0.07,-0.6779841125199582,-3.743423898427245,-0.09685487321713687,-0.5347748426324636,7
PANBIO,2026-07-01,2026-07-17,50.0,591.188102,547.454016,-2186.7042999999967,-7.397660042894428,-1.0568085775563465,0.07,-4.607349489587653,-10.78135736906287,-0.6581927842268076,-1.5401939098661244,16
NATPHA,2026-05-07,2026-07-17,3.0,1161.51275,954.1679828571428,-622.034301428572,-17.851269143869263,-2.5501813062670373,0.07,3.8301129281619994,-27.49111019229019,0.5471589897374285,-3.9273014560414556,71
NATPHA,2026-05-14,2026-07-17,10.0,1208.12822,954.1679828571428,-2539.602371428573,-21.020967223400945,-3.0029953176287063,0.07,-0.3085947284635071,-30.28885626063763,-0.04408496120907244,-4.326979465805375,64
NATPHA,2026-05-21,2026-07-17,12.0,1192.9969083333333,954.1679828571428,-2865.9471057142864,-20.019240939177664,-2.859891562739666,0.07,-0.5864984464300282,-29.40467874501127,-0.08378549234714688,-4.2006683921444665,57
NATPHA,2026-05-29,2026-07-17,10.0,1195.11888,954.1679828571428,-2409.5089714285723,-20.16124932633122,-2.8801784751901742,0.07,-14.995904005800664,-29.530022988173354,-2.142272000828666,-4.218574712596193,49
LLOMET,2026-07-15,2026-07-17,15.0,1837.8905833333333,1810.4198333333334,-412.0612499999993,-1.4946890880836339,-0.21352701258337606,0.07,1.534880091474422,0.3052095003660771,0.219268584496346,0.04360135719515387,2
SEINVE,2026-06-29,2026-07-17,200.0,60.241165800000005,73.175076,2586.78204,21.47021895781438,3.0671741368306273,0.07,22.4743894315538,-1.8943288776791967,3.2106270616505426,-0.2706184110970281,18
SKMEGG,2026-06-02,2026-07-17,75.0,234.985168,324.569692,6718.839299999999,38.12348020195044,5.446211457421492,0.07,53.584161533122796,-2.747053379981834,7.654880219017542,-0.392436197140262,45
SKMEGG,2026-06-29,2026-07-17,50.0,292.83826400000004,324.569692,1586.5713999999969,10.835820280644715,1.5479743258063887,0.07,23.242091067716466,0.062060195794622075,3.3202987239594943,0.00886574225637458,18
SKMEGG,2026-07-09,2026-07-17,40.0,308.6200125,324.5889425,638.7572,5.174301520709057,0.7391859315298662,0.07,16.93992138633589,2.4398895713219515,2.419988769476556,0.34855565304599306,8
